"Node Name","taxon A","taxon B","Node Age","Study reference"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.52066,"Barker et al. 2015 - chronogram 1"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.58207700000002,"Jetz et al. 2012 - chronogram 2"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.58208000000001,"Hedges et al. 2015 - chronogram 2"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.633439,"Barker et al. 2015 - chronogram 2"
"n20","Hemispingus frontalis","Hemispingus melanotis",9.1221721529,"Burns et al. 2014"
"n21","Hemispingus atropileus","Hemispingus calophrys",3.80926200000002,"Jetz et al. 2012 - chronogram 1"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.25886450000002,"Jetz et al. 2012 - chronogram 2"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.25886700000001,"Hedges et al. 2015 - chronogram 2"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.3095475,"Barker et al. 2015 - chronogram 1"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.5212235,"Barker et al. 2015 - chronogram 2"
"n21","Hemispingus atropileus","Hemispingus calophrys",15.6205824029,"Burns et al. 2014"
"n22","Hemispingus atropileus","Hemispingus auricularis",0.152605000000015,"Jetz et al. 2012 - chronogram 1"
"n22","Hemispingus atropileus","Hemispingus auricularis",0.170617000000007,"Hedges et al. 2015 - chronogram 2"
"n22","Hemispingus atropileus","Hemispingus auricularis",0.170617000000014,"Jetz et al. 2012 - chronogram 2"
"n22","Hemispingus atropileus","Hemispingus auricularis",2.794203,"Barker et al. 2015 - chronogram 1"
"n22","Hemispingus atropileus","Hemispingus auricularis",2.916752,"Barker et al. 2015 - chronogram 2"
"n22","Hemispingus atropileus","Hemispingus auricularis",10.0425071099,"Burns et al. 2014"
"n23","Hemispingus calophrys","Hemispingus parodii",0.168066000000017,"Jetz et al. 2012 - chronogram 1"
"n23","Hemispingus calophrys","Hemispingus parodii",0.187902000000008,"Hedges et al. 2015 - chronogram 2"
"n23","Hemispingus calophrys","Hemispingus parodii",0.187902000000015,"Jetz et al. 2012 - chronogram 2"
"n23","Hemispingus calophrys","Hemispingus parodii",0.485319000000011,"Hedges et al. 2015 - chronogram 1"
"n23","Hemispingus calophrys","Hemispingus parodii",0.524469000000003,"Barker et al. 2015 - chronogram 1"
"n23","Hemispingus calophrys","Hemispingus parodii",0.547085000000003,"Barker et al. 2015 - chronogram 2"
"n23","Hemispingus calophrys","Hemispingus parodii",1.8749574429,"Burns et al. 2014"
"n24","Hemispingus goeringi","Hemispingus rufosuperciliaris",3.448338,"Barker et al. 2015 - chronogram 1"
"n24","Hemispingus goeringi","Hemispingus rufosuperciliaris",3.612718,"Barker et al. 2015 - chronogram 2"
"n24","Hemispingus goeringi","Hemispingus rufosuperciliaris",12.4798856239,"Burns et al. 2014"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",2.443078,"Barker et al. 2015 - chronogram 1"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",2.539029,"Barker et al. 2015 - chronogram 2"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",2.66112700000001,"Jetz et al. 2012 - chronogram 1"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",2.71939500000001,"Hedges et al. 2015 - chronogram 1"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",2.97521700000001,"Jetz et al. 2012 - chronogram 2"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",2.97522000000001,"Hedges et al. 2015 - chronogram 2"
"n25","Hemispingus verticalis","Hemispingus xanthophthalmus",8.6938903669,"Burns et al. 2014"
"n26","Cyanerpes nitidus","Tersina viridis",7.50823850000001,"Jetz et al. 2012 - chronogram 1"
"n26","Cyanerpes nitidus","Tersina viridis",8.2959073022,"Barker et al. 2013"
"n26","Cyanerpes nitidus","Tersina viridis",8.39442737500001,"Jetz et al. 2012 - chronogram 2"
"n26","Cyanerpes nitidus","Tersina viridis",8.39443000000001,"Hedges et al. 2015 - chronogram 2"
"n26","Cyanerpes nitidus","Tersina viridis",8.48579000000001,"Hedges et al. 2015 - chronogram 1"
