"","MRCA","MaxAge","MinAge","taxonA","taxonB","reference","mrca_node_number","mrca_node_name"
"232","b35f3316c82a4747afea264584d2cfb6",3.39391600000001,3.39391600000001,"Pheucticus_ludovicianus","Pheucticus_melanocephalus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",304,"n304"
"995","938058191bb59b812bdd75abe8cfbdc8",3.49878700000001,3.49878700000001,"Pheucticus_melanocephalus","Pheucticus_ludovicianus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",304,"n304"
"407","8a8c6091d24c4d9f5ea0095a35469aa1",3.49879000000001,3.49879000000001,"Pheucticus_ludovicianus","Pheucticus_melanocephalus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",304,"n304"
"538","6b4827e42fc1df93ff107f626dd0abbe",1.603603,1.603603,"Pheucticus_tibialis","Pheucticus_chrysogaster","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",305,"n305"
"226","52322b83c876d55509c671f00d6d302e",1.62398500000001,1.62398500000001,"Pheucticus_tibialis","Pheucticus_chrysogaster","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",305,"n305"
"637","5dbc69e508cba98ce7bb56a2ea884e0a",1.711826,1.711826,"Pheucticus_tibialis","Pheucticus_chrysogaster","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",305,"n305"
"67","01c101b0f24d2c39a154be4daf3d8e93",4.64600550000001,4.64600550000001,"Pheucticus_tibialis","Pheucticus_aureoventris","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",305,"n305"
"540","6d20bb676f8ffd83ff0239acf7ab0d26",0.487106000000001,0.487106000000001,"Pheucticus_chrysogaster","Pheucticus_aureoventris","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",306,"n306"
"638","4e43094620f716e12af196c2fc555a8a",0.519135000000002,0.519135000000002,"Pheucticus_chrysogaster","Pheucticus_aureoventris","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",306,"n306"
"1054","14a71992aa6b9f5ee15376b952f119bb",3.6532998643,3.6532998643,"Plectrophenax_nivalis","Calcarius_lapponicus","Barker, F. K., K. J. Burns, J. Klicka, S. M. Lanyon, I. J. Lovette. 2013. Going to extremes: contrasting rates of diversification in a recent radiation of New World passerine birds. Systematic Biology 62 (2): 298-320.",307,"n307"
"450","622e186061cdb731738fc6a6465a5fd1",3.73928616666667,3.73928616666667,"Calcarius_mccownii","Calcarius_lapponicus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",307,"n307"
"544","37474aa2d89f1338712620e53d550046",7.94146916666667,7.94146916666667,"Calcarius_mccownii","Calcarius_lapponicus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",307,"n307"
"665","e7a4284fec82996ed53721c32beca951",10.8907835,10.8907835,"Plectrophenax_nivalis","Calcarius_lapponicus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",307,"n307"
"863","ffa2311b02193a7a00ac2fb734347a46",11.5936945,11.5936945,"Plectrophenax_nivalis","Calcarius_lapponicus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",307,"n307"
"655","b820465fcbd946be8c42c77a49871e35",14.1904656666667,14.1904656666667,"Calcarius_lapponicus","Calcarius_mccownii","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",307,"n307"
"73","bb17753eda6640b51d9306b49cb21b7d",15.102377,15.102377,"Calcarius_lapponicus","Calcarius_mccownii","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",307,"n307"
"854","2cdf10461d95db3066d0345ae769e238",15.1063438333333,15.1063438333333,"Calcarius_lapponicus","Calcarius_mccownii","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",307,"n307"
"286","26aa3b44204946de308c06c44e5dfd5b",15.106387,15.106387,"Calcarius_lapponicus","Calcarius_mccownii","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",307,"n307"
"646","6d5c88f46d35b92468adbb54df7f4df7",17.31709775,17.31709775,"Calcarius_mccownii","Calcarius_pictus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",307,"n307"
"842","f1d0751b3330372b9d4d747ca761edc4",18.434773875,18.434773875,"Calcarius_mccownii","Calcarius_pictus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",307,"n307"
"276","7ae43e6a5d9e8879035f14024943807b",18.434817,18.434817,"Calcarius_ornatus","Plectrophenax_hyperboreus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",307,"n307"
"59","24fc41c8b8cdf08fee862868f580dc93",18.596952,18.596952,"Calcarius_ornatus","Plectrophenax_hyperboreus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",307,"n307"
"527","1bd389bae39155527e1c14e6bd7e4ec3",3.096973,3.096973,"Calcarius_lapponicus","Calcarius_ornatus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",308,"n308"
"588","a8404e5b21c30d190ed421a361298215",6.728169,6.728169,"Calcarius_lapponicus","Calcarius_ornatus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",308,"n308"
"66","cda15bf0c91be99f4e49ed9dd2df54f2",16.785283,16.785283,"Calcarius_ornatus","Calcarius_lapponicus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",308,"n308"
"284","854c54d6e068073e5c0d777bf3a0ab77",18.434817,18.434817,"Calcarius_ornatus","Calcarius_lapponicus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",308,"n308"
"532","6f9741049b3e85daa858590454c6c438",0.619111,0.619111,"Calcarius_ornatus","Calcarius_pictus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",309,"n309"
"605","46626fa638f47d784b102d2634ab7fe1",1.396422,1.396422,"Calcarius_ornatus","Calcarius_pictus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",309,"n309"
"654","7de0074d48243a8a30b77f25b7dd8b18",4.680924,4.680924,"Calcarius_pictus","Calcarius_ornatus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",309,"n309"
"72","dfcd92f3d4751d2a39d66dfc89d26d9f",4.96453200000001,4.96453200000001,"Calcarius_ornatus","Calcarius_pictus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",309,"n309"
"853","8e89435cb5c8b3f554f1a8e83a11d3a2",4.98303900000001,4.98303900000001,"Calcarius_pictus","Calcarius_ornatus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",309,"n309"
"285","c344511ce3f168e90c239879a3596aa5",4.98304000000001,4.98304000000001,"Calcarius_ornatus","Calcarius_pictus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",309,"n309"
